
2024/01/04 (11:57:27) | ===> btop++ v.1.2.13
2024/01/04 (11:57:27) | INFO: Logger set to DEBUG
2024/01/04 (11:57:27) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (11:57:27) | INFO: Running on /dev/pts/1

2024/01/04 (11:57:45) | ===> btop++ v.1.2.13
2024/01/04 (11:57:45) | INFO: Logger set to DEBUG
2024/01/04 (11:57:45) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (11:57:45) | INFO: Running on /dev/pts/1

2024/01/04 (11:58:22) | ===> btop++ v.1.2.13
2024/01/04 (11:58:22) | INFO: Logger set to DEBUG
2024/01/04 (11:58:22) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (11:58:22) | INFO: Running on /dev/pts/1

2024/01/04 (12:00:43) | ===> btop++ v.1.2.13
2024/01/04 (12:00:43) | INFO: Logger set to DEBUG
2024/01/04 (12:00:43) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (12:00:43) | INFO: Running on /dev/pts/2

2024/01/04 (12:01:01) | ===> btop++ v.1.2.13
2024/01/04 (12:01:01) | INFO: Logger set to DEBUG
2024/01/04 (12:01:01) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (12:01:01) | INFO: Running on /dev/pts/2

2024/01/04 (12:01:09) | ===> btop++ v.1.2.13
2024/01/04 (12:01:09) | INFO: Logger set to DEBUG
2024/01/04 (12:01:09) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (12:01:09) | INFO: Running on /dev/pts/2

2024/01/04 (12:04:08) | ===> btop++ v.1.2.13
2024/01/04 (12:04:08) | INFO: Logger set to DEBUG
2024/01/04 (12:04:08) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (12:04:08) | INFO: Running on /dev/pts/3
2024/01/04 (12:04:08) | DEBUG: Loading theme file: /home/erik/.config/btop/themes/catppuccin_mocha.theme

2024/01/04 (12:05:00) | ===> btop++ v.1.2.13
2024/01/04 (12:05:00) | INFO: Logger set to DEBUG
2024/01/04 (12:05:00) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (12:05:00) | INFO: Running on /dev/pts/4
2024/01/04 (12:05:00) | DEBUG: Loading theme file: /home/erik/.config/btop/themes/catppuccin_frappe.theme

2024/01/04 (12:05:36) | ===> btop++ v.1.2.13
2024/01/04 (12:05:36) | INFO: Logger set to DEBUG
2024/01/04 (12:05:36) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (12:05:36) | INFO: Running on /dev/pts/0
2024/01/04 (12:05:36) | DEBUG: Loading theme file: /home/erik/.config/btop/themes/catppuccin_latte.theme

2024/01/04 (12:05:44) | ===> btop++ v.1.2.13
2024/01/04 (12:05:44) | INFO: Logger set to DEBUG
2024/01/04 (12:05:44) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (12:05:44) | INFO: Running on /dev/pts/0
2024/01/04 (12:05:44) | DEBUG: Loading theme file: /home/erik/.config/btop/themes/catppuccin_macchiato.theme

2024/01/04 (12:05:50) | ===> btop++ v.1.2.13
2024/01/04 (12:05:50) | INFO: Logger set to DEBUG
2024/01/04 (12:05:50) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (12:05:50) | INFO: Running on /dev/pts/0
2024/01/04 (12:05:50) | DEBUG: Loading theme file: /home/erik/.config/btop/themes/catppuccin_mocha.theme

2024/01/04 (12:08:15) | ===> btop++ v.1.2.13
2024/01/04 (12:08:15) | INFO: Logger set to DEBUG
2024/01/04 (12:08:15) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (12:08:15) | INFO: Running on /dev/pts/0
2024/01/04 (12:08:15) | DEBUG: Loading theme file: /home/erik/.config/btop/themes/catppuccin_mocha.theme
2024/01/04 (12:08:19) | DEBUG: Writing new config file
2024/01/04 (12:08:19) | INFO: Quitting! Runtime: 00:00:04

2024/01/04 (12:10:42) | ===> btop++ v.1.2.13
2024/01/04 (12:10:42) | INFO: Logger set to DEBUG
2024/01/04 (12:10:42) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (12:10:42) | INFO: Running on /dev/tty1
2024/01/04 (12:10:42) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2024/01/04 (12:10:43) | ERROR: Failed to get size of terminal!
2024/01/04 (12:10:43) | INFO: Quitting! Runtime: 00:00:01
